Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.774","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.508","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.542","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.474","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.84","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.638","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.919","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2.151","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.597","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.554","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.668","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.384","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.792","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.105","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.421","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2015","2015","°c","2.175","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2016","2016","°c","2.1","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.746","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.53","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.375","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.322","E","Estimated value"
"ET","Temperature change on land","040","Austria","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.41","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.482","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.333","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.394","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.523","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2004","2004","°c","1.089","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.198","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2006","2006","°c","1.406","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.889","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.261","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.159","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.236","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2011","2011","°c","1.29","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.137","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2013","2013","°c","0.472","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2014","2014","°c","2.408","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.355","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.865","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.711","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.173","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2019","2019","°c","2.055","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2020","2020","°c","2.542","E","Estimated value"
"ET","Temperature change on land","056","Belgium","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.176","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.171","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.63","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2002","2002","°c","0.837","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.164","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.508","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.189","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.542","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.853","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.146","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.259","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.334","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.394","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.647","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.44","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.128","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.344","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.796","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2017","2017","°c","0.843","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2018","2018","°c","2.072","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.991","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.938","E","Estimated value"
"ET","Temperature change on land","100","Bulgaria","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.511","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2000","2000","°c","1.636","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2001","2001","°c","1.61","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.278","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2003","2003","°c","1.291","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.681","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2005","2005","°c","0.307","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.734","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2007","2007","°c","2","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2008","2008","°c","1.479","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2009","2009","°c","1.517","E","Estimated value"
"ET","Temperature change on land","191","Croatia","7271","Temperature change","7020","Meteorological year","2010","2010","°c","0.883","E","Estimated value"
