Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","3563.2","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","3132.2","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","3079.2","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","3384.9","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","3301.7","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","3404","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","3415.7","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","3526.6","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","4246.7","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","3531.8","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","3692.4","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","3441.5","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","3563.3","A","Official figure","Official figure"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","3097.44","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","3373.22","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","3777.62","X","Figure from international organizations","Eurostat"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","4361.49","X","Figure from international organizations","Eurostat"
