Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2000","2000","6199","Value","3044","FAO Model","1000 No","766.87","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2001","2001","6199","Value","3044","FAO Model","1000 No","718.74","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2002","2002","6199","Value","3044","FAO Model","1000 No","703.31","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2003","2003","6199","Value","3044","FAO Model","1000 No","734.47","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2004","2004","6199","Value","3044","FAO Model","1000 No","716.11","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2005","2005","6199","Value","3044","FAO Model","1000 No","732.78","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2006","2006","6199","Value","3044","FAO Model","1000 No","735.18","E","Estimated value","Total AFS Employment includes only Agriculture"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2007","2007","6199","Value","3044","FAO Model","1000 No","791.9","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2008","2008","6199","Value","3044","FAO Model","1000 No","787.97","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2009","2009","6199","Value","3044","FAO Model","1000 No","775.35","E","Estimated value","Modelled using ISIC shares"
"OEA","Employment Indicators: Agriculture and agrifood systems","040","Austria","21160","Total employment in agrifood systems (AFS)","1","Total","2010","2010","6199","Value","3044","FAO Model","1000 No","765.78","E","Estimated value","Modelled using ISIC shares"
