Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2000","2000","kg/ha","3819.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2001","2001","kg/ha","4655.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2002","2002","kg/ha","4286.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2003","2003","kg/ha","4155.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2004","2004","kg/ha","5261.7","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2005","2005","kg/ha","4587.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2006","2006","kg/ha","4427.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2007","2007","kg/ha","4194.8","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2008","2008","kg/ha","5207.9","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2009","2009","kg/ha","4600.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2010","2010","kg/ha","4606.3","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2011","2011","kg/ha","5606.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2012","2012","kg/ha","4399.5","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2013","2013","kg/ha","5148.6","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2014","2014","kg/ha","5799.4","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5412","Yield","0115","Barley","2015","2015","kg/ha","5537.6","A","Official figure",""
